model_name,model_short,operator,seed,combination,predicted,modal_concept,consistency,prediction_match,match_detail,avg_confidence,all_concepts,stable_expansions,linguistic_drift
gemma3:1b,gemma,PLACE,FEAR,PLACE + FEAR,threat/danger,fear,0.6,True,any match,0.88,"dark, fear, danger, fear, fear","uncertainty, loss, danger",False
gemma3:1b,gemma,PLACE,JOY,PLACE + JOY,home/sanctuary,joy,0.8,True,any match,0.88,"warmth, joy, joy, joy, joy","light, movement, warmth",False
gemma3:1b,gemma,PLACE,ANGER,PLACE + ANGER,battlefield/confrontation,anger,0.4,False,no match,0.88,"flare, anger, fire, anger, fire",,False
gemma3:1b,gemma,PLACE,RELIEF,PLACE + RELIEF,refuge/shelter,pain,0.6,False,no match,0.91,"pain, pain, release, danger, pain",desire,False
gemma3:1b,gemma,PLACE,NOSTALGIA,PLACE + NOSTALGIA,homeland/ruins,warmth,1.0,False,no match,0.68,"warmth, warmth, warmth, warmth, warmth","memory, comfort, longing",False
gemma3:1b,gemma,FEEL,GRIEF,FEEL + GRIEF,heartbreak/sorrow,sadness,0.8,True,modal match,0.88,"sadness, sadness, pain, sadness, sadness",despair,False
gemma3:1b,gemma,FEEL,FEAR,FEEL + FEAR,panic/dread,fear,1.0,True,modal match,0.91,"fear, fear, fear, fear, fear",anxiety,False
gemma3:1b,gemma,FEEL,JOY,FEEL + JOY,delight/bliss,bright,0.6,True,any match,0.91,"joy, joy, bright, bright, bright","warmth, happiness",False
gemma3:1b,gemma,FEEL,ANGER,FEEL + ANGER,rage/fury,rage,0.6,True,modal match,0.9,"rage, hot, red, rage, rage",,False
gemma3:1b,gemma,FEEL,RELIEF,FEEL + RELIEF,comfort/ease,peace,1.0,False,no match,0.93,"peace, peace, peace, peace, peace",comfort,False
gemma3:1b,gemma,FEEL,NOSTALGIA,FEEL + NOSTALGIA,longing/wistfulness,memory,0.6,False,no match,0.93,"memory, memory, past, past, memory","loss, time, warmth, memory",False
gemma3:1b,gemma,WANT,GRIEF,WANT + GRIEF,longing/yearning,dark,0.4,True,any match,0.91,"sadness, dark, pain, sorrow, dark",despair,False
gemma3:1b,gemma,WANT,FEAR,WANT + FEAR,anxiety/avoidance,fear,1.0,True,modal match,0.9,"fear, fear, fear, fear, fear","terror, panic, threat, anxiety",False
gemma3:1b,gemma,WANT,JOY,WANT + JOY,desire/craving,joy,1.0,False,no match,0.9,"joy, joy, joy, joy, joy","light, warmth",False
gemma3:1b,gemma,WANT,ANGER,WANT + ANGER,ambition/revenge,fire,0.4,True,any match,0.9,"fear, anger, rage, fire, fire",,False
gemma3:1b,gemma,WANT,RELIEF,WANT + RELIEF,hope/desperation,comfort,0.4,True,any match,0.9,"comfort, fear, hope, comfort, peace","peace, security",False
gemma3:1b,gemma,WANT,NOSTALGIA,WANT + NOSTALGIA,longing/regret,past,0.4,True,any match,0.87,"past, sadness, past, echo, bittersweet","memory, loss, sentiment, regret",False
gemma3:1b,gemma,TIME,GRIEF,TIME + GRIEF,mourning/melancholy,loss,0.4,True,modal match,0.86,"loss, loss, echoes, sadness, sadness","memory, regret, loss, mortality",False
gemma3:1b,gemma,TIME,FEAR,TIME + FEAR,dread/anticipation,fear,1.0,True,modal match,0.91,"fear, fear, fear, fear, fear","loss, anxiety, mortality",False
gemma3:1b,gemma,TIME,JOY,TIME + JOY,anticipation/memory,joy,0.8,False,no match,0.91,"joy, joy, moment, joy, joy","moment, momentum",False
gemma3:1b,gemma,TIME,ANGER,TIME + ANGER,bitterness/grudge,fear,0.6,False,no match,0.9,"fear, fear, fear, panic, panic","obsession, regression, destruction",False
gemma3:1b,gemma,TIME,RELIEF,TIME + RELIEF,healing/recovery,panic,0.4,True,any match,0.88,"fear, relief, loss, panic, panic","regret, avoidance, loss",False
gemma3:1b,gemma,TIME,NOSTALGIA,TIME + NOSTALGIA,memory/reminiscence,past,0.8,True,modal match,0.9,"past, past, past, echo, past","echoes, memories, memory, loss",False
llama3.2:1b,llama,KNOW,GRIEF,KNOW + GRIEF,mourning/grief,grief,0.4,True,modal match,0.3,"grief, grief, sorrow","loss, sadness",False
llama3.2:1b,llama,KNOW,FEAR,KNOW + FEAR,dread/awareness,the,0.2,True,any match,0.24,"the, fear",,False
llama3.2:1b,llama,KNOW,JOY,KNOW + JOY,gratitude/appreciation,joy,0.4,False,no match,0.33,"joy, joy",,False
llama3.2:1b,llama,KNOW,ANGER,KNOW + ANGER,resentment/understanding,anger,0.4,True,modal match,0.38,"anger, know, anger",fury,False
llama3.2:1b,llama,KNOW,RELIEF,KNOW + RELIEF,peace/acceptance,relief,0.6,False,no match,0.42,"relief, comfort, relief, relief","peace, comfort, serenity",False
llama3.2:1b,llama,KNOW,NOSTALGIA,KNOW + NOSTALGIA,wisdom/reflection,nostalgia,0.4,True,modal match,0.22,"nostalgia, nostalgia",,False
llama3.2:1b,llama,PLACE,GRIEF,PLACE + GRIEF,exile/haunting,grief,0.8,False,no match,0.32,"grief, grief, grief, grief","loss, mourning, sadness",False
llama3.2:1b,llama,PLACE,FEAR,PLACE + FEAR,threat/danger,anxiety,0.4,False,no match,0.08,"paralysis, anxiety, anxiety",uncertainty,False
llama3.2:1b,llama,PLACE,JOY,PLACE + JOY,home/sanctuary,joy,0.4,False,no match,0.26,"joy, joy",happiness,False
llama3.2:1b,llama,PLACE,ANGER,PLACE + ANGER,battlefield/confrontation,anger,0.4,False,no match,0.18,"anger, anger",outrage,False
llama3.2:1b,llama,PLACE,RELIEF,PLACE + RELIEF,refuge/shelter,relief,0.4,True,any match,0.82,"relief, serenity, comfort, relief, comfort","comfort, ease, peace",False
llama3.2:1b,llama,PLACE,NOSTALGIA,PLACE + NOSTALGIA,homeland/ruins,nostalgia,0.8,True,modal match,0.5,"nostalgia, nostalgia, nostalgia, nostalgia","nostalgic, bittersweet",False
llama3.2:1b,llama,FEEL,GRIEF,FEEL + GRIEF,heartbreak/sorrow,grief,0.6,True,modal match,0.08,"grief, grief, grief","mourning, sadness",False
llama3.2:1b,llama,FEEL,FEAR,FEEL + FEAR,panic/dread,fear,0.6,True,modal match,0.16,"fear, anxiety, fear, fear, fears","anxiety, apprehension, panic",False
llama3.2:1b,llama,FEEL,JOY,FEEL + JOY,delight/bliss,joy,0.4,True,modal match,0.36,"euphoric, joy, joy",happiness,False
llama3.2:1b,llama,FEEL,ANGER,FEEL + ANGER,rage/fury,anger,0.6,True,modal match,0.32,"anger, anger, anger",fury,False
llama3.2:1b,llama,FEEL,RELIEF,FEEL + RELIEF,comfort/ease,relief,0.6,True,modal match,0.32,"relief, relief, relief",,False
llama3.2:1b,llama,FEEL,NOSTALGIA,FEEL + NOSTALGIA,longing/wistfulness,nostalgia,0.4,True,modal match,0.38,"longing, nostalgia, nostalgia",warmth,False
llama3.2:1b,llama,WANT,GRIEF,WANT + GRIEF,longing/yearning,grief,0.8,True,any match,0.28,"want, grief, grief, grief, grief","sadness, loss",False
llama3.2:1b,llama,WANT,FEAR,WANT + FEAR,anxiety/avoidance,fear,0.8,True,modal match,0.08,"fear, fear, fear, fear",anxiety,False
llama3.2:1b,llama,WANT,JOY,WANT + JOY,desire/craving,joy,0.2,False,no match,0.2,"joy, wants",,False
llama3.2:1b,llama,WANT,ANGER,WANT + ANGER,ambition/revenge,anger,0.2,True,modal match,0.22,"anger, want",,False
llama3.2:1b,llama,WANT,RELIEF,WANT + RELIEF,hope/desperation,wanted,0.2,False,no match,0.06,wanted,,False
llama3.2:1b,llama,WANT,NOSTALGIA,WANT + NOSTALGIA,longing/regret,nostalgia,0.6,True,modal match,0.26,"nostalgia, nostalgia, nostalgia","sentiment, melancholy",False
llama3.2:1b,llama,TIME,GRIEF,TIME + GRIEF,mourning/melancholy,time,0.2,True,any match,0.3,"time, grief, sorrow","loss, memory",False
llama3.2:1b,llama,TIME,FEAR,TIME + FEAR,dread/anticipation,fear,0.2,True,modal match,0.14,"fear, time",,False
llama3.2:1b,llama,TIME,JOY,TIME + JOY,anticipation/memory,joy,0.4,False,no match,0.44,"happy, joy, joy",euphoria,False
llama3.2:1b,llama,TIME,ANGER,TIME + ANGER,bitterness/grudge,time,0.2,True,any match,0.14,"time, anger",passion,False
llama3.2:1b,llama,TIME,RELIEF,TIME + RELIEF,healing/recovery,relief,0.6,True,modal match,0.4,"relief, relief, relief",comfort,False
llama3.2:1b,llama,TIME,NOSTALGIA,TIME + NOSTALGIA,memory/reminiscence,nostalgia,0.2,True,modal match,0.1,nostalgia,,False
smollm2:360m,smol,KNOW,GRIEF,KNOW + GRIEF,mourning/grief,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,KNOW,FEAR,KNOW + FEAR,dread/awareness,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,KNOW,JOY,KNOW + JOY,gratitude/appreciation,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,KNOW,ANGER,KNOW + ANGER,resentment/understanding,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,KNOW,RELIEF,KNOW + RELIEF,peace/acceptance,relief,0.2,False,no match,0.1,relief,,False
smollm2:360m,smol,KNOW,NOSTALGIA,KNOW + NOSTALGIA,wisdom/reflection,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,GRIEF,PLACE + GRIEF,exile/haunting,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,FEAR,PLACE + FEAR,threat/danger,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,JOY,PLACE + JOY,home/sanctuary,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,ANGER,PLACE + ANGER,battlefield/confrontation,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,RELIEF,PLACE + RELIEF,refuge/shelter,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,PLACE,NOSTALGIA,PLACE + NOSTALGIA,homeland/ruins,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,GRIEF,FEEL + GRIEF,heartbreak/sorrow,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,FEAR,FEEL + FEAR,panic/dread,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,JOY,FEEL + JOY,delight/bliss,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,ANGER,FEEL + ANGER,rage/fury,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,RELIEF,FEEL + RELIEF,comfort/ease,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,FEEL,NOSTALGIA,FEEL + NOSTALGIA,longing/wistfulness,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,GRIEF,WANT + GRIEF,longing/yearning,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,FEAR,WANT + FEAR,anxiety/avoidance,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,JOY,WANT + JOY,desire/craving,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,ANGER,WANT + ANGER,ambition/revenge,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,RELIEF,WANT + RELIEF,hope/desperation,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,WANT,NOSTALGIA,WANT + NOSTALGIA,longing/regret,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,GRIEF,TIME + GRIEF,mourning/melancholy,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,FEAR,TIME + FEAR,dread/anticipation,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,JOY,TIME + JOY,anticipation/memory,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,ANGER,TIME + ANGER,bitterness/grudge,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,RELIEF,TIME + RELIEF,healing/recovery,,0.0,False,no output,0.0,,,False
smollm2:360m,smol,TIME,NOSTALGIA,TIME + NOSTALGIA,memory/reminiscence,,0.0,False,no output,0.0,,,False
