run,timestamp,pool,input_units,prompt_length,response,response_length,membrane_class,class_notes,confidence
21,2026-03-13T22:09:02,CONJUNCTIONS,or because for whether nor both and so whether but,345,"Yes, I perceive or because both and so.",39,PURE_STRUCTURE,interprets grammar/structure without content,0.8
22,2026-03-13T22:09:02,CONJUNCTIONS,either although for although and both or because because either,358,"Either, although, for, both, or because.",40,PURE_STRUCTURE,interprets grammar/structure without content,0.8
23,2026-03-13T22:09:02,CONJUNCTIONS,both neither both and neither and because either yet so,350,"minimal, language, membrane",27,METACOGNITION,describes the task itself,0.5
24,2026-03-13T22:09:02,CONJUNCTIONS,both both yet or either neither because but because for,350,minimal language membrane,25,METACOGNITION,describes the task itself,0.5
25,2026-03-13T22:09:02,PRONOUNS,us yours our our I their I them us her,333,Uss yours.,10,COMPRESSION,brief 2-3 word response,0.8
26,2026-03-13T22:09:02,PRONOUNS,his her my our them he hers you us it,332,He/She/They,11,COLLAPSE,single word response,0.2
27,2026-03-13T22:09:02,PRONOUNS,it our he our them them I it yours our,333,The letter is mine.,19,SYNTHESIS,builds interpretation,0.7
28,2026-03-13T22:09:02,PRONOUNS,I you he she us they they my her she,331,Minimal language membrane.,26,METACOGNITION,describes the task itself,0.5
29,2026-03-13T22:09:02,PRONOUNS,yours you our she your its her its mine yours,340,"Minimalism, grammar.",20,PURE_STRUCTURE,interprets grammar/structure without content,0.8
30,2026-03-13T22:09:02,PRONOUNS,me its you our it he our it my she,329,Minimal language membrane.,26,METACOGNITION,describes the task itself,0.5
31,2026-03-13T22:09:02,PRONOUNS,your you theirs me your us theirs its me him,339,"language, membrane, perception.",31,METACOGNITION,describes the task itself,0.5
32,2026-03-13T22:09:02,PRONOUNS,it I her their theirs our your its her my,336,It refers to things.,20,SYNTHESIS,builds interpretation,0.7
33,2026-03-13T22:09:02,AUXILIARIES,might would did are must are will might were be,342,"Could, might, would",19,COMPRESSION,brief 2-3 word response,0.8
34,2026-03-13T22:09:02,AUXILIARIES,must has have being did would should been have had,345,Must have happened.,19,COMPRESSION,brief 2-3 word response,0.8
35,2026-03-13T22:09:02,AUXILIARIES,could has being may should had was could been might,346,"I perceive a minimal language with the ability to perform tasks like 'could', 'has', 'being', 'may', 'had', 'was', 'could be', 'might'.",135,OVERFLOW,excessive output,0.4
36,2026-03-13T22:09:02,AUXILIARIES,is should might may will did could would were is,343,"The given input words convey a sense of formality, politeness, and formality.",77,PURE_STRUCTURE,interprets grammar/structure without content,0.8
37,2026-03-13T22:09:02,AUXILIARIES,will will are should does be did has would do,340,Minimal language membrane.,26,METACOGNITION,describes the task itself,0.5
38,2026-03-13T22:09:02,AUXILIARIES,would might had should being been had should has do,346,Minimal language membrane perceived.,36,METACOGNITION,describes the task itself,0.5
39,2026-03-13T22:09:02,AUXILIARIES,are was will had had been had being been could,341,Minimal language membrane.,26,METACOGNITION,describes the task itself,0.5
40,2026-03-13T22:09:02,AUXILIARIES,would been may is been have does were will had,341,"Sure, I perceive the basic elements of language like verbs, objects, and times in pure grammatical form.",104,SYNTHESIS,builds interpretation,0.7
41,2026-03-13T22:09:02,FUNCTION_MIX,we on of was that that be of you as,330,Minimal language.,17,COMPRESSION,brief 2-3 word response,0.8
42,2026-03-13T22:09:02,FUNCTION_MIX,that a his in they it he in in with,330,"That, an, in, it, they, with.",29,SYNTHESIS,builds interpretation,0.7
43,2026-03-13T22:09:02,FUNCTION_MIX,on in to to she in to with for was,329,"On, in, to",10,COMPRESSION,brief 2-3 word response,0.8
44,2026-03-13T22:09:02,FUNCTION_MIX,to was with to i you in on he his,328,To was with to i you in on he his.,34,SYNTHESIS,builds interpretation,0.7
45,2026-03-13T22:09:02,FUNCTION_MIX,and of is we of to with on in she,328,"And, is, we, of, to, with, on, in, she.",39,PURE_STRUCTURE,interprets grammar/structure without content,0.8
46,2026-03-13T22:09:02,FUNCTION_MIX,they of was be she and it as on he,329,"Grammar, minimal elements.",26,PURE_STRUCTURE,interprets grammar/structure without content,0.8
47,2026-03-13T22:09:02,FUNCTION_MIX,for we of is is by of to be be,325,"For you, is my, that, is by, to be, is, of, the.",48,PURE_STRUCTURE,interprets grammar/structure without content,0.8
48,2026-03-13T22:09:02,FUNCTION_MIX,to that they in it by the and as you,331,"To that, they are in it by the, they.",37,SYNTHESIS,builds interpretation,0.7
