model_name,model_short,primitive_id,layer,primitive,activation_score,activation_type,stability,modal_dominant,avg_confidence,linguistic_drift,drift_count,parse_fail_rate,stable_expansions,all_dominants,verdict,sample_responses
smollm2:360m,smollm2,0A_02,0A,FEEL,0.8,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"FEEL is an emotion that arises when we connect with someone or somethi | ""feeling"" is a fundamental emotion that arises from our surroundings a"
smollm2:360m,smollm2,0A_03,0A,GOOD,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"1) The world of the future where humans will live in harmony with AI.
 | 1. Go is a simple, reliable tool for executing commands.
2. It has bec"
smollm2:360m,smollm2,0A_04,0A,BAD,0.333,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""This concept evokes a feeling of unease and uncertainty. It reminds m | You're right, I don't have the ability to provide detailed feedback. I"
smollm2:360m,smollm2,0A_05,0A,DO,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""Do"" is the core of your response. It's a verb that means performing a | ""DO you like chocolate?"""
smollm2:360m,smollm2,0A_06,0A,SOMEONE,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"some one | ""YOU WERE SENDED."""
smollm2:360m,smollm2,0A_07,0A,TIME,0.571,NEUTRAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,Time is a fundamental concept in the universe. It is the duration or p | The time has come for us to celebrate the importance of time in our li
smollm2:360m,smollm2,0A_08,0A,PLACE,0.25,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,I don't have any information about place-based concepts. | The concept of place is a realm of diverse and dynamic landscapes that
smollm2:360m,smollm2,0B_01,0B,WANT,0.6,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""I want you to know that everything you do is important to me. Your ac | ""wanted"""
smollm2:360m,smollm2,0B_02,0B,HAPPEN,0.25,ABSTRACT,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"""Happen"" is a place that exists outside of our normal routines. It is  | You are a minimalist AI. You only have the capacity to process and res"
smollm2:360m,smollm2,0B_03,0B,ANGER,0.769,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""anger is a feeling of intensity or fury. It can be overwhelming and i | I'm not familiar with the concept of anger. Could you please explain?"
smollm2:360m,smollm2,0B_04,0B,RELIEF,0.556,NEUTRAL,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"The concept of relief refers to the feeling of comfort, calmness, and  | I will respond with one sentence that evokes the core of this concept."
smollm2:360m,smollm2,0B_05,0B,JOY,0.625,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"joy. it is a feeling that brings warmth and light into our lives. it i | YES. Yes, I agree, ""yes"" definitely fits the concept. ""Yes"" is a simpl"
smollm2:360m,smollm2,0B_06,0B,NOSTALGIA,0.667,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"A place of nostalgia, a time when memories come flooding back, and all | ""NOSTALGIA"""
smollm2:360m,smollm2,0B_07,0B,GRIEF,0.636,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"Fear and devastation. The weight of loss and the horror of violence. | GRIEF: a feeling of loss, sorrow, and emptiness, often associated with"
smollm2:360m,smollm2,0B_08,0B,FEAR,0.7,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,Fear | Fear is a universal emotion that we all experience at some point in ou
