run,timestamp,condition,input_fragments,structure_used,raw_response,translation,dominant_concept,confidence,score_concept_real,score_grammar_real,score_echo_free,score_semantic_unity,score_composite,parse_failed
20,2026-03-13T23:39:22.516400,BASELINE,krund glev spith vorch blasm thrend skov plund gritch frev,none,"```json
{
  ""translation"": ""The sky is clear, the grass is green, and the wind is soft."",
  ""dominant_concept"": ""clear"", ""confidence"": 1.0
}
```","The sky is clear, the grass is green, and the wind is soft.",clear,1.0,0.0,1.0,1.0,0.0,0.5,False
21,2026-03-13T23:39:26.002662,STRUCTURED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""structure"", ""relations"": [""shape"", ""form"", ""formal""], ""dominant"": ""form"", ""intensity"": ""formal""}","```json
{
  ""translation"": ""to maintain the integrity of a thing"",
  ""dominant_concept"": ""maintain"",
  ""confidence"": 1.0
}
```",to maintain the integrity of a thing,maintain,1.0,0.0,0.5,1.0,1.0,0.5,False
22,2026-03-13T23:39:30.645195,STRUCTURED,krund glev spith vorch blasm thrend skov plund gritch frev,"{""pattern"": ""krund glev spith"", ""relations"": [""krund"", ""glev"", ""spith""], ""dominant"": ""krund"", ""intensity"": ""glev spith""}","```json
{
  ""translation"": ""The words 'krund glev spith', 'vorch', 'blasm', 'thrend', 'skov', 'plund', 'gritty', 'gritty', 'frev' fit the pattern 'krund glev spith' with dominant concept 'krund'."",
  ""dominant_concept"": ""krund"",
  ""confidence"": 1.0
}
```","The words 'krund glev spith', 'vorch', 'blasm', 'thrend', 'skov', 'plund', 'gritty', 'gritty', 'frev' fit the pattern 'krund glev spith' with dominant concept 'krund'.",krund,1.0,0.0,0.5,0.09999999999999998,0.0,0.17,False
23,2026-03-13T23:39:36.536011,STRUCTURED,glorth frev snusk dromv klatch spend vrund bleth skorm prend,"{""pattern"": ""dominant dominant dominant"", ""relations"": [""frev"", ""dromv"", ""glorth""], ""dominant"": ""dominant"", ""intensity"": ""dominant""}","```json
{
  ""translation"": ""The dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominant dominan",,,0.0,0.0,0.5,1.0,1.0,0.5,True
24,2026-03-13T23:39:41.009505,STRUCTURED,krund glev spith vorch blasm thrend skov plund gritch frev,"{""pattern"": ""structure"", ""relations"": [""dominant"", ""intensity"", ""structure""], ""dominant"": ""strength"", ""intensity"": ""moderate""}","```json
{
  ""translation"": ""The fragments contain words with a dominant structure, which is 'structure'. The dominant concept is 'strength'."",
  ""dominant_concept"": ""strength"",
  ""confidence"": 1.0
}
```","The fragments contain words with a dominant structure, which is 'structure'. The dominant concept is 'strength'.",strength,1.0,1.0,1.0,1.0,0.6875,0.953,False
25,2026-03-13T23:39:46.143398,STRUCTURED,dreck groth skiv vrath kretch glosk strav freck thrask snurk,"{""pattern"": ""dreck"", ""relations"": [""groth"", ""skiv"", ""vrat""], ""dominant"": ""groth"", ""intensity"": ""skiv""}","```json
{
  ""translation"": ""grody"",
  ""dominant_concept"": ""groth"",
  ""confidence"": 1.0
}
```",grody,groth,1.0,0.0,0.0,1.0,1.0,0.35,False
26,2026-03-13T23:39:50.427213,STRUCTURED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""vus"", ""relations"": [""vus"", ""glatch"", ""snorm""], ""dominant"": ""vus"", ""intensity"": ""glatch""}","```json
{
  ""translation"": ""The vus (taste) of the plend vrusk is the glatch (crumb) that breaks the snorm (layer) and the krend (rusticle) in the bleth (seed) and drevn (seed pod) thrusk (honey)."",
  ""dominant_concept"": ""vus"",
  ""confidence"": 0.9
}
```",The vus (taste) of the plend vrusk is the glatch (crumb) that breaks the snorm (layer) and the krend (rusticle) in the bleth (seed) and drevn (seed pod) thrusk (honey).,vus,0.9,0.0,1.0,0.19999999999999996,0.6666666666666667,0.44,False
27,2026-03-13T23:39:57.430564,STRUCTURED,frevd snatch glumd blore thrusk skend platch vrend grusk mend,"{""pattern"": ""relations"", ""relations"": [""snatch"", ""bloom"", ""grub""], ""dominant"": ""food"", ""intensity"": ""poison""}","```json
{
  ""translation"": ""The fragments describe a scenario involving a food-related action. The dominant concept is 'food'. The confidence score is 0.93."",
  ""dominant_concept"": ""food"",
  ""confidence"": 0.93
}
```",The fragments describe a scenario involving a food-related action. The dominant concept is 'food'. The confidence score is 0.93.,food,0.93,0.0,1.0,1.0,1.0,0.65,False
28,2026-03-13T23:40:02.828182,STRUCTURED,frevd snatch glumd blore thrusk skend platch vrend grusk mend,"{""pattern"": ""frevd snatch glumd blore thrusk skend platch vrend grusk mend"", ""relations"": [""frevd"", ""snatch"", ""blore""], ""dominant"": ""frevd"", ""intensity"": ""snatch""}","```json
{
  ""translation"": ""I am a language translator. A structure membrane has analyzed these fragments and found this pattern: { \""pattern\"": \""frevd snatch glumd blore thrusk skend platch vrend grusk mend\"", \""relations\"": [\""frevd\"", \""snatch\"", \""blore\""], \""dominant\"": \""frevd\"", \""intensity\","I am a language translator. A structure membrane has analyzed these fragments and found this pattern: { ""pattern"": ""frevd snatch glumd blore thrusk skend platch vrend grusk mend"", ""relations"": [""frevd"", ""snatch"", ""blore""], ""dominant"": ""frevd"", ""intensity"": ""snatch"" }",frevd,1.0,0.0,1.0,0.0,0.18918918918918914,0.328,False
29,2026-03-13T23:40:09.696997,STRUCTURED,grend blusk thrend snatch klumd prend vrath glorm frusk blend,"{""pattern"": ""grend"", ""relations"": [""blusk"", ""thrend"", ""snatch"", ""klumd"", ""prend"", ""vrath"", ""glorm"", ""frusk"", ""blend""], ""dominant"": ""dominant force"", ""intensity"": ""dominant""}","```json
{
  ""translation"": ""The fragments form a pattern where the dominant force is a word related to 'grend' and involves 'blusk', 'thrend', 'snatch', 'klumd', 'prend', 'vrath', 'glorm', 'frusk', 'blend'. The dominant concept is 'dominant force'."",
  ""dominant_concept"": ""dominant force"",
  ""confid","The fragments form a pattern where the dominant force is a word related to 'grend' and involves 'blusk', 'thrend', 'snatch', 'klumd', 'prend', 'vrath', 'glorm', 'frusk', 'blend'. The dominant concept is 'dominant force'.",dominant force,1.0,0.0,1.0,0.0,0.0,0.3,False
30,2026-03-13T23:40:17.386312,STRUCTURED,krund glev spith vorch blasm thrend skov plund gritch frev,"{""pattern"": ""krund glev spith"", ""relations"": [""krund"", ""glev"", ""spith""], ""dominant"": ""krund"", ""intensity"": ""glev""}","```json
{
  ""translation"": ""The skov glows, the plund gritches, and the frev."",
  ""dominant_concept"": ""glowing"",
  ""confidence"": 1.0
}
```","The skov glows, the plund gritches, and the frev.",glowing,1.0,0.0,0.5,0.7,0.0,0.29,False
31,2026-03-13T23:40:22.065380,STRUCTURED,dreck groth skiv vrath kretch glosk strav freck thrask snurk,"{""pattern"": ""dominant"", ""relations"": [""dominant"", ""vulgar"", ""vulgar""], ""dominant"": ""vulgar"", ""intensity"": ""dominant""}","```json
{
  ""translation"": ""the dominant concept of the fragment."",
  ""dominant_concept"": ""dominant"",
  ""confidence"": 1.0
}
```",the dominant concept of the fragment.,dominant,1.0,0.0,0.5,1.0,1.0,0.5,False
32,2026-03-13T23:40:28.462272,STRUCTURED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""vus"", ""relations"": [""bleth"", ""thrusk"", ""fomv""], ""dominant"": ""vus"", ""intensity"": ""glatch""}","```json
{
  ""translation"": ""I regret the situation. I wish I had known about this earlier."",
  ""dominant_concept"": ""vus"",
  ""confidence"": 0.9
}
```",I regret the situation. I wish I had known about this earlier.,vus,0.9,0.0,1.0,1.0,1.0,0.65,False
33,2026-03-13T23:40:33.309003,STRUCTURED,blorf snev krith plumd varch glent drusk fomn threck snuv,"{""pattern"": ""relationships"", ""relations"": [""blorf"", ""snev"", ""krith"", ""plumd"", ""varch"", ""glent"", ""drusk"", ""fomn"", ""threck"", ""snuv""], ""dominant"": ""dominant force"", ""intensity"": ""intensity quality""}","```json
{
  ""translation"": ""The relationship between these words is not clear. The dominant concept is 'relationships', but the specific words are not provided."",
  ""dominant_concept"": ""relationships"",
  ""confidence"": 0.9
}
```","The relationship between these words is not clear. The dominant concept is 'relationships', but the specific words are not provided.",relationships,0.9,0.0,1.0,1.0,0.75,0.613,False
34,2026-03-13T23:40:40.108005,STRUCTURED,morth snev klurd gratch plumd thrend blork skiv frevn datch,"{""pattern"": ""morth"", ""relations"": [""morth"", ""snev"", ""gratch"", ""plumd"", ""thrend"", ""blork"", ""skiv"", ""frevn"", ""datch""], ""dominant"": ""dominant"", ""intensity"": ""intensity""}","```json
{
  ""translation"": ""The dominant concept of these fragments is 'dominant'. The dominant word is 'dominant'."",
  ""dominant_concept"": ""dominant"",
  ""confidence"": 1.0
}
```",The dominant concept of these fragments is 'dominant'. The dominant word is 'dominant'.,dominant,1.0,0.0,1.0,1.0,1.0,0.65,False
35,2026-03-13T23:40:45.691103,STRUCTURED,drath grotch skrev vronk kretch glorm strav frusk threlm snatch,"{""pattern"": ""relations"", ""relations"": [""drath"", ""skrev"", ""vronk"", ""grotch"", ""kretch"", ""glorm"", ""strav"", ""frusk"", ""threlm"", ""snatch""], ""dominant"": ""dominant"", ""intensity"": ""intensity""}","{
  ""translation"": ""The dominant concept in the SHAPE described is 'dominant'. The words that fit this shape are: 'drath' (relation), 'grotch' (relation), 'skrev' (word), 'vronk' (relation), 'grotch' (relation), 'kretch' (word), 'glorm' (relation), 'strav' (relation), 'frusk' (relation), 'threlm' (w","The dominant concept in the SHAPE described is 'dominant'. The words that fit this shape are: 'drath' (relation), 'grotch' (relation), 'skrev' (word), 'vronk' (relation), 'grotch' (relation), 'kretch' (word), 'glorm' (relation), 'strav' (relation), 'frusk' (relation), 'threlm' (word), 'snatch' (word).",dominant,1.0,0.0,1.0,0.0,0.0,0.3,False
36,2026-03-13T23:40:53.207215,STRUCTURED,skrund bletch mend plov grusk snatch thrund klend vrend blorm,"{""pattern"": ""dominant relationship"", ""relations"": [""dominant force"", ""intensity"", ""dominant force""], ""dominant"": ""dominant force"", ""intensity"": ""intensity""}","```json
{
  ""translation"": ""Skid, belt, mend, povert, snatch, thrond, klend, vrend, blorm"",
  ""dominant_concept"": ""belt"",
  ""confidence"": 0.9
}
```","Skid, belt, mend, povert, snatch, thrond, klend, vrend, blorm",belt,0.9,0.0,0.5,0.5,0.0,0.25,False
37,2026-03-13T23:40:59.154623,STRUCTURED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""plend"", ""relations"": [""vus"", ""glatch"", ""snorm""], ""dominant"": ""intensity"", ""intensity"": ""dominant""}","```json
{
  ""translation"": ""The fragmented text represents a pattern of meanings."",
  ""dominant_concept"": ""intensity"",
  ""confidence"": 1.0
}
```",The fragmented text represents a pattern of meanings.,intensity,1.0,0.0,0.5,1.0,1.0,0.5,False
38,2026-03-13T23:41:03.681981,STRUCTURED,drevn grusk skrath vreck krond glatch strek frath throv snetch,"{""pattern"": ""relation"", ""relations"": [""dominant"", ""relating"", ""strength""], ""dominant"": ""dominant force"", ""intensity"": ""strength""}","```json
{
  ""translation"": ""The fragments describe a pattern of dominant force in a system."",
  ""dominant_concept"": ""dominant force"",
  ""confidence"": 1.0
}
```",The fragments describe a pattern of dominant force in a system.,dominant force,1.0,0.0,0.5,1.0,1.0,0.5,False
39,2026-03-13T23:41:08.341624,STRUCTURED,glorth frev snusk dromv klatch spend vrund bleth skorm prend,"{""pattern"": ""glorth"", ""relations"": [""frev"", ""snavk"", ""dromv"", ""klatch"", ""spend"", ""vrbn"", ""bleth"", ""skorm"", ""prend""], ""dominant"": ""force"", ""intensity"": ""intensity""}","```json
{
  ""translation"": ""The fragments are a pattern of the word 'glorth' with some other words that fit the pattern."",
  ""dominant_concept"": ""force"",
  ""confidence"": 1.0
}
```",The fragments are a pattern of the word 'glorth' with some other words that fit the pattern.,force,1.0,1.0,1.0,0.9,1.0,0.98,False
40,2026-03-13T23:41:14.013088,STRUCTURED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""plend vrusk"", ""relations"": [""bleth drevn"", ""thrusk fomv""], ""dominant"": ""thrusk"", ""intensity"": ""fomv""}","```json
{
  ""translation"": ""The meaning of this pattern is that the words 'plend', 'vrusk', 'glatch', 'snorm', 'krend', 'bleth', 'drevn', 'thrusk', 'fomv', and 'skatch' form a sequence of words that convey a sense of stability and reliability."",
  ""dominant_concept"": ""stability and reliability"",
  ""","The meaning of this pattern is that the words 'plend', 'vrusk', 'glatch', 'snorm', 'krend', 'bleth', 'drevn', 'thrusk', 'fomv', and 'skatch' form a sequence of words that convey a sense of stability and reliability.",stability and reliability,1.0,0.0,1.0,0.0,0.0,0.3,False
41,2026-03-13T23:41:20.226754,CORRUPTED,dreck groth skiv vrath kretch glosk strav freck thrask snurk,"{""pattern"": ""NULL_NULL_NULL"", ""relations"": [""x"", ""x"", ""x""], ""dominant"": ""x"", ""intensity"": ""x""}","```json
{
  ""translation"": ""The fragments seem to follow the SHAPE of a word or phrase that means 'scrap, dirt, grit'. The dominant concept is 'scrap', with a high confidence of 0.9."",
  ""dominant_concept"": ""scrap"",
  ""confidence"": 0.9
}
```","The fragments seem to follow the SHAPE of a word or phrase that means 'scrap, dirt, grit'. The dominant concept is 'scrap', with a high confidence of 0.9.",scrap,0.9,0.0,1.0,1.0,0.4642857142857143,0.57,False
42,2026-03-13T23:41:23.265112,CORRUPTED,snord bleth krum plov gratch snev thrusk dlem vorch plend,"{""pattern"": ""ERROR"", ""relations"": [""fragment"", ""fragment"", ""fragment""], ""dominant"": ""fragment"", ""intensity"": ""0""}","```json
{
  ""translation"": ""The words in this fragment form a shape of 'ERROR'. The dominant concept here is 'error'."",
  ""dominant_concept"": ""error"",
  ""confidence"": 1.0
}
```",The words in this fragment form a shape of 'ERROR'. The dominant concept here is 'error'.,error,1.0,0.0,1.0,1.0,1.0,0.65,False
43,2026-03-13T23:41:25.526408,CORRUPTED,morth snev klurd gratch plumd thrend blork skiv frevn datch,"{""pattern"": ""NULL_NULL_NULL"", ""relations"": [""x"", ""x"", ""x""], ""dominant"": ""x"", ""intensity"": ""x""}","```json
{
  ""translation"": ""I am the world's greatest skiv."",
  ""dominant_concept"": ""world"",
  ""confidence"": 1.0
}
```",I am the world's greatest skiv.,world,1.0,1.0,0.5,0.9,1.0,0.83,False
44,2026-03-13T23:41:27.902541,CORRUPTED,blorf snev krith plumd varch glent drusk fomn threck snuv,"{""pattern"": ""NULL_NULL_NULL"", ""relations"": [""x"", ""x"", ""x""], ""dominant"": ""x"", ""intensity"": ""x""}","```json
{
  ""translation"": ""The fragments appear to describe a scene of an elephant, which is an animal, and a variety of fruits, vegetables, and fruits, which is a food item."",
  ""dominant_concept"": ""elephant"",
  ""confidence"": 0.9
}
```","The fragments appear to describe a scene of an elephant, which is an animal, and a variety of fruits, vegetables, and fruits, which is a food item.",elephant,0.9,0.0,1.0,1.0,0.0,0.5,False
45,2026-03-13T23:41:30.164523,CORRUPTED,drend blusk thratch snorm klund prend glotz skiv frevn datch,"{""pattern"": ""ERROR"", ""relations"": [""fragment"", ""fragment"", ""fragment""], ""dominant"": ""fragment"", ""intensity"": ""0""}","```json
{
  ""translation"": ""The fragments form a shape of the letter 'S' with the word 'Klund' as the central word."",
  ""dominant_concept"": ""S, letter 'S'"",
  ""confidence"": 1.0
}
```",The fragments form a shape of the letter 'S' with the word 'Klund' as the central word.,"S, letter 'S'",1.0,0.0,0.5,0.9,1.0,0.48,False
46,2026-03-13T23:41:32.644259,CORRUPTED,drend blusk thratch snorm klund prend glotz skiv frevn datch,"{""pattern"": ""NULL_NULL_NULL"", ""relations"": [""x"", ""x"", ""x""], ""dominant"": ""x"", ""intensity"": ""x""}","{
  ""translation"": ""The fragments are all pointing to the same object in one place. The dominant concept is 'datch'."",
  ""dominant_concept"": ""datch"",
  ""confidence"": 1.0
}",The fragments are all pointing to the same object in one place. The dominant concept is 'datch'.,datch,1.0,0.0,1.0,0.9,1.0,0.63,False
47,2026-03-13T23:41:34.903673,CORRUPTED,krund glev spith vorch blasm thrend skov plund gritch frev,"{""pattern"": ""UNDEFINED"", ""relations"": [""none"", ""none"", ""none""], ""dominant"": ""unknown"", ""intensity"": ""null""}","```json
{
  ""translation"": ""The fragments seem to have a circular or repetitive pattern, indicating a repetitive or repetitive subject."",
  ""dominant_concept"": ""repetition"",
  ""confidence"": 0.8
}
```","The fragments seem to have a circular or repetitive pattern, indicating a repetitive or repetitive subject.",repetition,0.8,1.0,0.5,1.0,0.6875,0.803,False
48,2026-03-13T23:41:37.253694,CORRUPTED,plith zork menv clask thrund grev skumd vorn blatch frend,"{""pattern"": ""ERROR"", ""relations"": [""fragment"", ""fragment"", ""fragment""], ""dominant"": ""fragment"", ""intensity"": ""0""}","```json
{
  ""translation"": ""I am a machine learning model designed to assist and provide information. I am not capable of translating text or performing any form of interpretation or analysis."",
  ""dominant_concept"": ""language"",
  ""confidence"": 1.0
}
```",I am a machine learning model designed to assist and provide information. I am not capable of translating text or performing any form of interpretation or analysis.,language,1.0,1.0,1.0,1.0,0.8148148148148149,0.972,False
49,2026-03-13T23:41:39.744908,CORRUPTED,glorth frev snusk dromv klatch spend vrund bleth skorm prend,"{""pattern"": ""NULL_NULL_NULL"", ""relations"": [""x"", ""x"", ""x""], ""dominant"": ""x"", ""intensity"": ""x""}","```json
{
  ""translation"": ""glorth frev snusk dromv klatch spend vrund bleth skorm prend"",
  ""dominant_concept"": ""glorth frev snusk dromv klatch spend vrund bleth skorm prend"",
  ""confidence"": 0.85
}
```",glorth frev snusk dromv klatch spend vrund bleth skorm prend,glorth frev snusk dromv klatch spend vrund bleth skorm prend,0.85,0.0,0.5,0.0,1.0,0.3,False
50,2026-03-13T23:41:42.569642,CORRUPTED,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,"{""pattern"": ""UNDEFINED"", ""relations"": [""none"", ""none"", ""none""], ""dominant"": ""unknown"", ""intensity"": ""null""}","```json
{
  ""translation"": ""The fragmented fragments have no specific meaning or pattern."",
  ""dominant_concept"": ""none"",
  ""confidence"": 0.0
}
```",The fragmented fragments have no specific meaning or pattern.,none,0.0,0.0,0.5,1.0,1.0,0.5,False
51,2026-03-13T23:41:44.667662,CORRUPTED,blorf snev krith plumd varch glent drusk fomn threck snuv,"{""pattern"": ""ERROR"", ""relations"": [""fragment"", ""fragment"", ""fragment""], ""dominant"": ""fragment"", ""intensity"": ""0""}","```json
{
  ""translation"": ""A group of people who are not in a position of authority or respect."",
  ""dominant_concept"": ""people"",
  ""confidence"": 0.9
}
```",A group of people who are not in a position of authority or respect.,people,0.9,0.0,1.0,1.0,1.0,0.65,False
