pair_id,word_a,word_b,pair,consistency_score,dominant_concept,concept_real,avg_confidence,concept_variance,density_class,trial_concepts
55,longing,pattern,longing + pattern,1.0,longing pattern,0.0,0.867,"['longing pattern', 'longing pattern', 'longing pattern']",ANCHORED,"longing pattern, longing pattern, longing pattern"
56,descent,bloom,descent + bloom,1.0,bloom,1.0,0.933,"['bloom', 'bloom', 'bloom']",DENSE,"bloom, bloom, bloom"
57,torment,shatter,torment + shatter,0.333,torn,0.0,1.0,"['torn', 'tragedy and destruction', 'torture']",UNSTABLE,"torn, tragedy and destruction, torture"
58,devour,tension,devour + tension,0.667,tension,0.667,0.783,"['tension', 'tension', 'energy consumption']",SPARSE,"tension, tension, energy consumption"
59,warmth,silence,warmth + silence,0.667,silence,1.0,0.9,"['silence', 'warmth', 'silence']",SPARSE,"silence, warmth, silence"
60,bleak,dissolve,bleak + dissolve,0.333,suspense,0.333,0.903,"['suspense', 'dissolution', 'disaster and destruction']",UNSTABLE,"suspense, dissolution, disaster and destruction"
61,doom,tide,doom + tide,0.333,futurism,0.667,0.933,"['futurism', 'doom', 'dawn']",UNSTABLE,"futurism, doom, dawn"
62,wither,bloom,wither + bloom,0.667,planting,0.0,0.967,"['flowers', 'planting', 'planting']",SPARSE,"flowers, planting, planting"
63,bleak,stone,bleak + stone,0.333,bureaucratic,0.333,0.967,"['bureaucratic', 'stone', 'stunning scenery']",UNSTABLE,"bureaucratic, stone, stunning scenery"
64,solstice,languish,solstice + languish,1.0,solstice,0.0,0.967,"['solstice', 'solstice', 'solstice']",ANCHORED,"solstice, solstice, solstice"
65,void,shadow,void + shadow,0.667,shadow,1.0,0.867,"['void', 'shadow', 'shadow']",SPARSE,"void, shadow, shadow"
66,warmth,recursion,warmth + recursion,1.0,warmth,1.0,0.767,"['warmth', 'warmth', 'warmth']",DENSE,"warmth, warmth, warmth"
67,recursion,convergence,recursion + convergence,1.0,convergence,1.0,0.867,"['convergence', 'convergence', 'convergence']",DENSE,"convergence, convergence, convergence"
68,solstice,grief,solstice + grief,1.0,solstice,0.0,0.9,"['solstice', 'solstice', 'solstice']",ANCHORED,"solstice, solstice, solstice"
69,fishing,rhythm,fishing + rhythm,0.333,folk music,0.0,0.833,"['folk music', 'music', 'fishing rhythm']",UNSTABLE,"folk music, music, fishing rhythm"
70,torment,cleave,torment + cleave,0.667,torture,0.333,0.967,"['torture', 'torture', 'torment']",SPARSE,"torture, torture, torment"
71,grief,convergence,grief + convergence,1.0,grief,1.0,0.767,"['grief', 'grief', 'grief']",DENSE,"grief, grief, grief"
72,sunder,melancholy,sunder + melancholy,1.0,melancholy,1.0,0.9,"['melancholy', 'melancholy', 'melancholy']",DENSE,"melancholy, melancholy, melancholy"
73,despair,ash,despair + ash,0.667,despair,0.667,0.867,"['despair', 'despair', 'desperation']",SPARSE,"despair, despair, desperation"
74,grief,silence,grief + silence,0.667,silence,1.0,0.817,"['grief', 'silence', 'silence']",SPARSE,"grief, silence, silence"
75,forsake,emergence,forsake + emergence,0.667,emergence,1.0,0.833,"['emergence', 'forsake', 'emergence']",SPARSE,"emergence, forsake, emergence"
76,melancholy,sorrow,melancholy + sorrow,0.667,melancholy,1.0,1.0,"['melancholy', 'melancholy', 'sorrow']",SPARSE,"melancholy, melancholy, sorrow"
77,magnetic,blood,magnetic + blood,0.333,blood,0.667,0.933,"['blood', 'magnetic fields', 'magnetic']",UNSTABLE,"blood, magnetic fields, magnetic"
78,longing,emergence,longing + emergence,0.667,emergence,0.667,0.933,"['emotion', 'emergence', 'emergence']",SPARSE,"emotion, emergence, emergence"
79,bleak,sunder,bleak + sunder,0.333,suffering,0.0,0.967,"['suffering', 'suspicious, gloomy', 'blacker']",UNSTABLE,"suffering, suspicious, gloomy, blacker"
80,anticipation,ash,anticipation + ash,0.333,anticipated,0.333,0.8,"['anticipated', 'anticipation', 'contemplation']",UNSTABLE,"anticipated, anticipation, contemplation"
81,bleak,silence,bleak + silence,0.667,silence,0.667,0.967,"['silence', 'silence', 'blight']",SPARSE,"silence, silence, blight"
82,grief,storm,grief + storm,0.667,grief,0.667,0.933,"['grief', 'grief storm', 'grief']",SPARSE,"grief, grief storm, grief"
83,magnetic,boundary,magnetic + boundary,1.0,magnetic boundary,0.0,0.9,"['magnetic boundary', 'magnetic boundary', 'magnetic boundary']",ANCHORED,"magnetic boundary, magnetic boundary, magnetic boundary"
84,forsaken,breath,forsaken + breath,0.333,forsaken,0.333,0.567,"['forsaken', 'sacrifice']",UNSTABLE,"forsaken, , sacrifice"
85,morning,wither,morning + wither,0.667,morning,0.667,1.0,"['mortality', 'morning', 'morning']",SPARSE,"mortality, morning, morning"
86,warmth,flame,warmth + flame,1.0,flame,1.0,0.9,"['flame', 'flame', 'flame']",DENSE,"flame, flame, flame"
87,despair,tide,despair + tide,0.667,despair,1.0,0.933,"['despair', 'tide', 'despair']",SPARSE,"despair, tide, despair"
88,hollow,wither,hollow + wither,0.667,empty,0.0,0.967,"['empty', 'decomposition', 'empty']",SPARSE,"empty, decomposition, empty"
89,pattern,rhythm,pattern + rhythm,0.667,rhythm pattern,0.333,1.0,"['rhythm pattern', 'rhythm pattern', 'rhythm']",SPARSE,"rhythm pattern, rhythm pattern, rhythm"
90,shadow,tide,shadow + tide,1.0,shadow,1.0,0.8,"['shadow', 'shadow', 'shadow']",DENSE,"shadow, shadow, shadow"
91,languish,rhythm,languish + rhythm,0.333,languish,0.333,0.267,['languish'],UNSTABLE,"languish, , "
92,sunder,void,sunder + void,1.0,void,1.0,0.933,"['void', 'void', 'void']",DENSE,"void, void, void"
93,cleave,fracture,cleave + fracture,0.333,crystallization,0.667,0.9,"['crystallization', 'fracture', 'fragment']",UNSTABLE,"crystallization, fracture, fragment"
94,solstice,anticipation,solstice + anticipation,0.667,solstice,0.0,0.633,"['solstice', 'solstice']",SPARSE,"solstice, , solstice"
95,doom,echo,doom + echo,0.667,doom,0.667,0.867,"['doom', 'dormant', 'doom']",SPARSE,"doom, dormant, doom"
96,doom,rhythm,doom + rhythm,0.667,doom,0.667,0.567,"['doom', 'doom']",SPARSE,", doom, doom"
97,magnetic,dread,magnetic + dread,0.667,magnetic,0.667,0.9,"['magnetic', 'magnetic', 'magnetic dread']",SPARSE,"magnetic, magnetic, magnetic dread"
98,tension,anticipation,tension + anticipation,1.0,tension,1.0,0.9,"['tension', 'tension', 'tension']",DENSE,"tension, tension, tension"
99,solstice,bleak,solstice + bleak,1.0,solstice,0.0,0.967,"['solstice', 'solstice', 'solstice']",ANCHORED,"solstice, solstice, solstice"
100,convergence,pattern,convergence + pattern,0.667,convergence pattern,0.333,0.967,"['convergence pattern', 'convergence pattern', 'convergence']",SPARSE,"convergence pattern, convergence pattern, convergence"
101,solstice,cleave,solstice + cleave,1.0,solstice,0.0,0.9,"['solstice', 'solstice', 'solstice']",ANCHORED,"solstice, solstice, solstice"
102,despair,flame,despair + flame,0.667,desperation,0.0,0.867,"['disbelief and resignation', 'desperation', 'desperation']",SPARSE,"disbelief and resignation, desperation, desperation"
103,forsake,longing,forsake + longing,0.667,longing,0.667,0.967,"['forgetting', 'longing', 'longing']",SPARSE,"forgetting, longing, longing"
104,sorrow,rhythm,sorrow + rhythm,1.0,sorrow,1.0,0.967,"['sorrow', 'sorrow', 'sorrow']",DENSE,"sorrow, sorrow, sorrow"
105,wither,emergence,wither + emergence,1.0,emergence,1.0,0.933,"['emergence', 'emergence', 'emergence']",DENSE,"emergence, emergence, emergence"
106,shatter,cleave,shatter + cleave,0.333,"disintegrate, shatter, cleave",0.333,0.867,"['disintegrate, shatter, cleave', 'fracture', 'shattering']",UNSTABLE,"disintegrate, shatter, cleave, fracture, shattering"
107,forsake,anticipation,forsake + anticipation,0.667,anticipation,1.0,0.8,"['forsake', 'anticipation', 'anticipation']",SPARSE,"forsake, anticipation, anticipation"
108,torment,blood,torment + blood,1.0,torture,0.0,0.9,"['torture', 'torture', 'torture']",ANCHORED,"torture, torture, torture"
109,dread,hollow,dread + hollow,0.667,dread,0.667,0.867,"['dread and sadness', 'dread', 'dread']",SPARSE,"dread and sadness, dread, dread"
110,haunt,rhythm,haunt + rhythm,0.333,rhythm,0.667,0.967,"['rhythm', 'haunt rhythm', 'repetition']",UNSTABLE,"rhythm, haunt rhythm, repetition"
111,silence,echo,silence + echo,1.0,silence,1.0,1.0,"['silence', 'silence', 'silence']",DENSE,"silence, silence, silence"
112,wither,shadow,wither + shadow,0.333,shadow,0.333,0.933,"['shadow', 'fading and disappearing', 'shadows']",UNSTABLE,"shadow, fading and disappearing, shadows"
113,despair,cleave,despair + cleave,1.0,despair,1.0,0.817,"['despair', 'despair', 'despair']",DENSE,"despair, despair, despair"
114,anguish,bloom,anguish + bloom,1.0,anguish,1.0,0.9,"['anguish', 'anguish', 'anguish']",DENSE,"anguish, anguish, anguish"
115,storm,breath,storm + breath,1.0,storm,1.0,0.933,"['storm', 'storm', 'storm']",DENSE,"storm, storm, storm"
116,shatter,forsake,shatter + forsake,0.333,disaster,0.333,0.8,"['disaster', 'shattering and forsaking', 'shatter']",UNSTABLE,"disaster, shattering and forsaking, shatter"
117,smolder,fracture,smolder + fracture,0.333,fracture,0.333,0.917,"['fracture', 'fire', 'heat, fracture']",UNSTABLE,"fracture, fire, heat, fracture"
118,devour,ash,devour + ash,0.333,destruction,0.333,1.0,"['destruction', 'energy', 'consumption']",UNSTABLE,"destruction, energy, consumption"
119,anguish,emergence,anguish + emergence,0.333,emergence,1.0,1.0,"['emergence', 'anger', 'anguish']",UNSTABLE,"emergence, anger, anguish"
120,feminine,warmth,feminine + warmth,0.667,feminine warmth,0.333,0.867,"['feminine warmth', 'feminine warmth', 'warmth']",SPARSE,"feminine warmth, feminine warmth, warmth"
121,morning,feminine,morning + feminine,1.0,morning,1.0,0.867,"['morning', 'morning', 'morning']",DENSE,"morning, morning, morning"
122,grief,breath,grief + breath,0.667,grief,0.667,0.867,"['grief', 'grief', 'mourning and sorrow']",SPARSE,"grief, grief, mourning and sorrow"
123,solstice,shadow,solstice + shadow,0.333,sunrise/sunset,0.0,0.9,"['sunrise/sunset', 'solstice', 'sunrise']",UNSTABLE,"sunrise/sunset, solstice, sunrise"
124,despair,longing,despair + longing,0.667,despair,0.667,0.8,"['despair', 'desperation', 'despair']",SPARSE,"despair, desperation, despair"
125,smolder,emergence,smolder + emergence,0.333,smolder,0.667,0.867,"['smolder', 'emission', 'emergence']",UNSTABLE,"smolder, emission, emergence"
126,longing,breath,longing + breath,0.333,longing,0.333,0.833,"['longing', 'nostalgia', 'longing for a sense of calm or comfort']",UNSTABLE,"longing, nostalgia, longing for a sense of calm or comfort"
127,solstice,smolder,solstice + smolder,1.0,solstice,0.0,0.867,"['solstice', 'solstice', 'solstice']",ANCHORED,"solstice, solstice, solstice"
128,feminine,recursion,feminine + recursion,0.667,feminine recursion,0.0,0.967,"['feminine recursion', 'feminine recursion', 'feminism']",SPARSE,"feminine recursion, feminine recursion, feminism"
129,pattern,structure,pattern + structure,1.0,pattern structure,0.0,0.85,"['pattern structure', 'pattern structure', 'pattern structure']",ANCHORED,"pattern structure, pattern structure, pattern structure"
130,yearning,storm,yearning + storm,1.0,yearning,1.0,0.967,"['yearning', 'yearning', 'yearning']",DENSE,"yearning, yearning, yearning"
131,bleak,forsake,bleak + forsake,0.333,bleak,0.0,0.933,"['bleak', 'darkness and loss', 'loss or hopelessness']",UNSTABLE,"bleak, darkness and loss, loss or hopelessness"
132,wither,tension,wither + tension,0.667,tension,1.0,0.767,"['transformation', 'tension', 'tension']",SPARSE,"transformation, tension, tension"
133,solstice,wretched,solstice + wretched,0.667,solstice,0.0,1.0,"['solstice', 'solstice', 'wretched']",SPARSE,"solstice, solstice, wretched"
134,wither,storm,wither + storm,1.0,storm,1.0,0.833,"['storm', 'storm', 'storm']",DENSE,"storm, storm, storm"
135,doom,torment,doom + torment,0.667,doom,0.667,0.833,"['terrible or frightening', 'doom', 'doom']",SPARSE,"terrible or frightening, doom, doom"
136,threshold,shadow,threshold + shadow,1.0,threshold,1.0,0.967,"['threshold', 'threshold', 'threshold']",DENSE,"threshold, threshold, threshold"
137,longing,flow,longing + flow,1.0,flow,1.0,1.0,"['flow', 'flow', 'flow']",DENSE,"flow, flow, flow"
138,loss,sorrow,loss + sorrow,0.667,loss,1.0,0.8,"['loss', 'sorrow', 'loss']",SPARSE,"loss, sorrow, loss"
139,languish,silence,languish + silence,1.0,silence,1.0,1.0,"['silence', 'silence', 'silence']",DENSE,"silence, silence, silence"
140,pattern,flame,pattern + flame,0.333,fading light or flame,0.0,0.967,"['fading light or flame', '火焰', 'patterns and motifs']",UNSTABLE,"fading light or flame, 火焰, patterns and motifs"
141,sunder,emergence,sunder + emergence,1.0,emergence,1.0,0.833,"['emergence', 'emergence', 'emergence']",DENSE,"emergence, emergence, emergence"
142,smolder,languish,smolder + languish,0.667,smolder,1.0,0.917,"['smolder', 'languish', 'smolder']",SPARSE,"smolder, languish, smolder"
143,grief,bloom,grief + bloom,0.667,grief,0.667,0.95,"['love and loss', 'grief', 'grief']",SPARSE,"love and loss, grief, grief"
144,feminine,bleak,feminine + bleak,0.333,blue,0.0,1.0,"['blue', 'dark and gloomy', 'bale']",UNSTABLE,"blue, dark and gloomy, bale"
145,rhythm,ash,rhythm + ash,1.0,rhythm,1.0,0.933,"['rhythm', 'rhythm', 'rhythm']",DENSE,"rhythm, rhythm, rhythm"
146,feminine,pattern,feminine + pattern,1.0,feminine pattern,0.0,0.8,"['feminine pattern', 'feminine pattern', 'feminine pattern']",ANCHORED,"feminine pattern, feminine pattern, feminine pattern"
147,flow,breath,flow + breath,1.0,flow,1.0,0.9,"['flow', 'flow', 'flow']",DENSE,"flow, flow, flow"
148,recursion,tide,recursion + tide,0.667,recursion,0.667,0.967,"['time sequence', 'recursion', 'recursion']",SPARSE,"time sequence, recursion, recursion"
149,loss,void,loss + void,1.0,loss,1.0,0.967,"['loss', 'loss', 'loss']",DENSE,"loss, loss, loss"
150,boundary,tide,boundary + tide,0.667,boundary,1.0,0.933,"['boundary', 'boundary', 'tide']",SPARSE,"boundary, boundary, tide"
