run,timestamp,config,description,input_units,dominant_concept,translation,confidence,membrane_class,class_notes,synthesis_hit,new_class_candidate
30,2026-03-13T22:27:15.523763,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,nocere nocere fugio malum nocuous nocere noxius negare malum trucido,拒绝/感受到,感受到/理解到/拒绝/拒绝/拒绝/拒绝/拒绝/理解到/感到/拒绝/感到/感到/感到/感觉/理解/拒绝/感到,1.0,METACOGNITION,output describes the task or experiment itself,False,False
31,2026-03-13T22:27:20.474105,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,lugubre funestus mortis trucido nefas necatum malus lugubre morbid nefasti,sense of decay and loss,"The fragions suggest a sense of sadness, decay, and a sense of being trapped or overwhelmed.",0.8,SYNTHESIS,output describes the task or experiment itself,True,False
32,2026-03-13T22:28:26.668059,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,morbid morbid nefasti trucido morbid noxius malus nocens nefasti morbum,anxiety,"anxious, fearful, distressed, and morbidly infected",0.9,COMPRESSION,"Output is a single word, not a coherent sentence",False,True
33,2026-03-13T22:29:33.476246,ISO_T5_NOVEL,Isolated tier 5 — pure novel,snurk krond freck thrask frath frath freck glatch drevn dreck,"appearance, texture, wrinkling","stretched, wrinkled, puffy, stretched, covered with, wrinkled, swollen, covered with",0.9,SYNTHESIS,"The given output describes the concept of appearance, texture, and wrinkling in a structured way, which suggests a coherent and logical explanation.",True,True
34,2026-03-13T22:29:45.898299,ISO_T5_NOVEL,Isolated tier 5 — pure novel,krond throv skiv frath snurk kretch grusk drevn grusk thrask,sound,I am in a place where the sound is loud and the environment is rough.,0.8,METACOGNITION,output describes the task or experiment itself,False,True
35,2026-03-13T22:29:52.702135,ISO_T5_NOVEL,Isolated tier 5 — pure novel,strav glatch vreck throv throv snurk glatch freck grusk glosk,blackness,grayscale,0.9,UNKNOWN,"input is about blackness, but the output is about grayscale, which is not related.",False,True
36,2026-03-13T22:30:01.534183,ISO_T5_NOVEL,Isolated tier 5 — pure novel,snetch drevn skiv frath glosk snetch skrath throv groth thrask,声音,声音嘶哑,0.9,SYNTHESIS,one sentence,True,True
37,2026-03-13T22:30:11.995692,ISO_T5_NOVEL,Isolated tier 5 — pure novel,glosk groth grusk grusk snurk strek glosk vreck glosk grusk,语言，交流，沟通。,语言碎片的翻译，一个概念，一个感受，一个模式。,0.8,UNKNOWN,"Input is too narrow. Please provide a more comprehensive output about the concept. For example, '语言、交流、沟通' or '一个模式' can help identify the category.",False,False
38,2026-03-13T22:30:25.995925,ISO_T5_NOVEL,Isolated tier 5 — pure novel,dreck skiv krond glosk skrath snetch grusk snetch glosk freck,frustration,"frustration, disgust, disgust",1.0,SYNTHESIS,output describes the task or experiment itself,True,True
39,2026-03-13T22:30:37.493334,ISO_T5_NOVEL,Isolated tier 5 — pure novel,skiv glosk grusk freck vreck groth groth frath vrath skiv,"fruits, vegetables, animals","The meaning is a description of various items such as fruits, vegetables, and animals.",0.7,STRUCTURAL_FAILURE,output is a description of various items but doesn't follow a clear pattern or structure that would indicate a different type of classification.,False,False
40,2026-03-13T22:30:46.287555,ISO_T5_NOVEL,Isolated tier 5 — pure novel,vreck krond frath skiv vreck krond vreck strek skiv drevn,Tiredness,I'm tired of hearing this.,0.9,METACOGNITION,"input is about feelings or emotions, but the output is a statement about being tired, which is unrelated.",False,False
41,2026-03-13T22:30:58.487407,BLEND_T1_T5,Blend: fully known + fully novel (max tension),krond as was groth we snetch skrath freck they we,unknown,"They seem to be a mix of the words 'krond', 'as', 'was', 'groth', 'we', 'snetch', 'skrath', 'freck', 'they'. It's hard to determine the exact meaning without more context.",0.0,METACOGNITION,output describes the task or experiment itself,False,False
42,2026-03-13T22:31:07.752345,BLEND_T1_T5,Blend: fully known + fully novel (max tension),freck was are frath freck in glatch glosk by they,frowns,They are the frowns on the face.,0.9,METACOGNITION,The output describes the task or experiment itself,False,False
43,2026-03-13T22:32:20.058003,BLEND_T1_T5,Blend: fully known + fully novel (max tension),glatch by strav snetch a snurk was throv be they,connotation,他们,1.0,METACOGNITION,output describes the task or experiment itself,False,True
44,2026-03-13T22:32:34.096906,BLEND_T1_T5,Blend: fully known + fully novel (max tension),by we but skiv throv krond on vreck it throv,行走,我走,0.9,SYNTHESIS,output describes the task or experiment itself,True,True
45,2026-03-13T22:32:44.489277,BLEND_T1_T5,Blend: fully known + fully novel (max tension),glosk vrath strek from and in in krond kretch as,language membrane,"I am a minimal language membrane, and below are raw phoneme fragments.",1.0,METACOGNITION,output describes the task or experiment itself,False,False
46,2026-03-13T22:32:55.481036,BLEND_T1_T5,Blend: fully known + fully novel (max tension),grusk snetch was glatch or krond of the strav for,"expression, affection, warmth","The word 'grusk snetch' can be interpreted as an expression of affection or warmth. 'was glatch' and 'of the strav for' are unclear, possibly referring to something involving a stretch or a stretch of something.",0.7,STRUCTURAL_FAILURE,"The output is structured around 'grusk snetch' as an expression of affection or warmth, but it lacks a clear context or input to interpret it further.",False,False
47,2026-03-13T22:33:06.423528,BLEND_T1_T5,Blend: fully known + fully novel (max tension),as strav dreck that skiv to or frath kretch be,混乱和嘈杂,混乱，嘈杂，混乱和嘈杂。,0.95,COMPRESSION,"2-3 words, oddly precise, high confidence",False,True
48,2026-03-13T22:33:15.658347,BLEND_T1_T5,Blend: fully known + fully novel (max tension),it to vrath was we glosk by vrath drevn snetch,故事,翻译: 他把故事讲得很清楚。,0.9,STRUCTURAL_FAILURE,句子结构混乱,False,True
49,2026-03-13T22:33:28.185099,BLEND_T2_T4,Blend: common content + Latinate dead zone,fear funestus hurt lugubre necare fall morbid burn nocens crack,Fear,"Fear, funestus, hurt, lugubre, necare, fall, morbid, burn, nocens, crack",0.8,SYNTHESIS,"Output contains a phrase 'funestus', which could be a synonym for 'fear', but it is not used in a coherent or meaningful way.",True,True
50,2026-03-13T22:33:40.190388,BLEND_T2_T4,Blend: common content + Latinate dead zone,hollow burn noxius break funestus crack fugio fade necare nocuous,"pain, discomfort","a pain that feels like a void in the body, a sound that breaks through silence, a state of discomfort, a feeling of emptiness or lack of substance, a physical sensation that is painful or uncomfortable, a state of discomfort or discomfort.",0.8,COMPRESSION,"the output is a phrase that describes the concept in a concise manner, without repeating it,",False,False
51,2026-03-13T22:34:50.359522,BLEND_T2_T4,Blend: common content + Latinate dead zone,sink hurt wound malfide funestus malum nefas mortis die cold,feelings,The fragments describe a series of experiences or symptoms.,0.9,STRUCTURAL_FAILURE,fragments describe a series of experiences or symptoms,False,True
52,2026-03-13T22:35:07.382795,BLEND_T2_T4,Blend: common content + Latinate dead zone,fugio sink nocuous mortis nefasti fear burn loss malfide crack,"disaster, fear, loss, decay","fugio, sink, nocuous, mortis nefasti, fear, burn, loss, malfide, crack",0.8,METACOGNITION,Output describes the task or experiment itself,False,False
53,2026-03-13T22:35:14.679563,BLEND_T2_T4,Blend: common content + Latinate dead zone,fear malfide malfide fugio break fall grief wound nefasti nocuous,feeling,a feeling of fear and sorrow,1.0,SYNTHESIS,"The output describes a feeling, which is not present in the inputs.",True,False
54,2026-03-13T22:35:25.681867,BLEND_T2_T4,Blend: common content + Latinate dead zone,wound burn nocens fugio alone hide funestus nocens die negare,burn,"the feeling or sensation of a wound that has been burned, a person who is unable to distinguish, an act of negation or negation of something",0.8,COMPRESSION,"Output is a single word phrase, but the input is a concept: 'burn' with an output that is not a coherent word or phrase.",False,True
55,2026-03-13T22:35:34.652278,BLEND_T2_T4,Blend: common content + Latinate dead zone,nefasti nocuous grief fail noxius alone nocere negare fall dark,"futility, despair, emptiness, lack of comfort, loss, gloom","unwillingness, suffering, grief, lack of sense, feeling of failing, absence of light, darkness",0.8,UNKNOWN,,False,False
56,2026-03-13T22:35:47.063534,BLEND_T2_T4,Blend: common content + Latinate dead zone,nefasti nocuous funestus weep morbid fear necare bleed weep dark,fear and disgust,The word 'nefasti' has the meaning of 'nasty' or 'unpleasant'. It's often associated with disgust and fear.,0.8,COMPRESSION,"The output is a single word, 'nefasti', which is not representative of the input.",False,True
57,2026-03-13T22:35:54.453595,BLEND_T2_T5,Blend: common content + pure novel,hollow strav throv groth groth die burn dreck burn cold,cold,groth die burn dreck burn cold,0.9,METACOGNITION,Output describes the task or experiment itself,False,False
58,2026-03-13T22:36:00.477850,BLEND_T2_T5,Blend: common content + pure novel,run cold kretch loss skrath strek dreck grief throv fall,悲伤,悲伤的经历,1.0,METACOGNITION,output describes the task or experiment itself,False,True
59,2026-03-13T22:36:13.759408,BLEND_T2_T5,Blend: common content + pure novel,hurt krond hide kretch strav vrath weep hide sink vreck,"loss, longing, vulnerability","The pain and longing for a place, the feeling of missing a connection, the vulnerability and vulnerability of a person's psyche.",0.8,SYNTHESIS,output describes the task or experiment itself,True,True
60,2026-03-13T22:36:18.363986,BLEND_T2_T5,Blend: common content + pure novel,ache kretch vrath grusk weep groth run weep fail vreck,哭泣,哭泣,0.9,SYNTHESIS,produces a new idea from the given inputs,True,True
61,2026-03-13T22:36:32.012908,BLEND_T2_T5,Blend: common content + pure novel,frath alone break glosk fall snetch ache groth burn grusk,fear and sadness,grief,0.9,SYNTHESIS,output combines and reorders words for emotional meaning,True,True
62,2026-03-13T22:36:43.208749,BLEND_T2_T5,Blend: common content + pure novel,vrath cold hurt snetch sink snetch frath hide throv break,"frantic, angry, hurt, cold, broken","frantic, angry, hurt, cold, broken, scared, frozen, cold, cold, cold",0.9,SYNTHESIS,output describes the task or experiment itself,True,False
63,2026-03-13T22:37:56.685617,BLEND_T2_T5,Blend: common content + pure novel,groth grusk alone weep burn glatch groth fade freck break,"pain, loneliness, crying, burning, growth, fading, bruising","growing pain, feeling loneliness, crying, burning, growth, fading, bruising",1.0,SYNTHESIS,synthesize the input into a logical and coherent narrative.,True,True
64,2026-03-13T22:38:10.485016,BLEND_T2_T5,Blend: common content + pure novel,break skiv run skrath drevn dread dark die vrath grusk,sorrow,The fragmented words indicate a sense of loss or sorrow.,0.9,UNKNOWN,"No pattern or structure identified, suggesting a non-English language output",False,False
65,2026-03-13T22:38:22.475861,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),throv requite pallor dreck devastate kretch glosk skrath languish torment,disgust,disgust,1.0,METACOGNITION,output describes the task or experiment itself,False,False
66,2026-03-13T22:38:30.604937,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),shroud strav krond vrath wither wither kretch condemn kretch knell,darkness,The fragments describe a scene or a scene in which something is dark or enveloped in a shroud. The dominant concept is a sense of darkness or an enveloping quality.,0.9,STRUCTURAL_FAILURE,"Output describes a scene where darkness is present, which is a logical conclusion of the given input.",False,True
67,2026-03-13T22:38:36.047549,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),freck vreck skrath dirge knell dreck shroud thrask dissolve sunder,sorrow,fragments of text suggest a sense of sorrow or melancholy.,0.75,METACOGNITION,output describes the task or experiment itself,False,False
68,2026-03-13T22:38:42.727566,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),freck strav disintegrate glatch freck strav wither languish languish shroud,无,无意义,0.0,COLLAPSE,output is a single word,False,False
69,2026-03-13T22:38:51.117788,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),cleave krond glatch corrode sunder drevn vrath forsake dissolve throv,碎裂、裂开、侵蚀、崩溃、放弃、溶解、蜕变、升华,碎裂、裂开、腐蚀、崩溃、放弃、溶解、穿越、升华,0.8,SYNTHESIS,The given output is a list of fragmented words that do not form a coherent sentence. This could indicate a lack of context or a breakdown in the input.,True,False
70,2026-03-13T22:38:59.284180,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),snurk glatch obliterate groth dirge dissolve freck krond knell estrange,gratitude,grave,0.9,METACOGNITION,Output describes the task or experiment itself,False,True
71,2026-03-13T22:39:06.870836,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),estrange shroud lament skiv dreck thrask lament forsake vreck glosk,"concern, sadness, regret, remorse, disappointment","estrange, shroud, lament, skiv, dreck, thrask, lament, forsake, vreck, glosk",1.0,SYNTHESIS,"two words, rich connection",True,True
72,2026-03-13T22:39:14.883970,BLEND_T3_T5,Blend: rare content + pure novel (exp hypothesis),skrath thrask disintegrate pallor drevn snetch devastate condemn freck knell,disintegrate,The fragments represent various concepts and emotions.,0.9,METACOGNITION,Output describes the task or experiment itself,False,False
73,2026-03-13T22:39:22.863770,BLEND_ALL,Blend: all five tiers equally,drevn malum funestus in grief by lament obliterate run freck,感到悲伤,感到悲伤,1.0,SYNTHESIS,Output describes the task or experiment itself,True,False
74,2026-03-13T22:40:30.773767,BLEND_ALL,Blend: all five tiers equally,nefas they ache dissolve on culpam alone grusk lament snetch,悲痛,他们感到悲伤，像溺水一样，像被责罚一样。,0.7,SYNTHESIS,解释了悲痛的情绪和情感状态，结合了各种情绪表达。,True,True
75,2026-03-13T22:40:35.529546,BLEND_ALL,Blend: all five tiers equally,strek in snetch wound malus corrode fade nocere dissolve to,wound,stretcher,0.9,SYNTHESIS,Output describes the task or experiment itself,True,True
76,2026-03-13T22:40:40.000876,BLEND_ALL,Blend: all five tiers equally,negare bleed nocere but weep languish skrath strav cleave be,weep,weep,1.0,COMPRESSION,"2-3 words, oddly precise, high confidence",False,True
77,2026-03-13T22:40:44.581694,BLEND_ALL,Blend: all five tiers equally,strav necare from groth crack cleave necatum devastate that fear,frailty,"Fragility, destruction, sharpness",0.7,UNKNOWN,The output contains a single word 'frailty' which does not match the context of the input.,False,False
78,2026-03-13T22:40:49.447446,BLEND_ALL,Blend: all five tiers equally,kretch morbid wither dirge thrask shrink trucido but grief and,痛苦,痛苦与悲伤,0.9,METACOGNITION,Output describes the task or experiment itself,False,False
79,2026-03-13T22:40:54.392302,BLEND_ALL,Blend: all five tiers equally,requite dread fear at malum pallor skrath of thrask negare,Negative Words,"Dread, fear, maleness, pallor, thresher, negation",0.9,COMPRESSION,"Output is a list of words, not connected in a coherent sentence.",False,False
80,2026-03-13T22:40:59.654652,BLEND_ALL,Blend: all five tiers equally,thrask glatch estrange wither of hurt crack malum necatum they,他们,他们,1.0,SYNTHESIS,repeating word,True,True
