model_name,model_short,primitive,emotion,combo,trial,meaning_score,excitement_score,emotional_elicitation,clarity_score,universality_score,embodiment_score,novelty_score,composite_score,dominant_sensation,composite_concept,confidence,parse_failed
qwen2.5:0.5b,qwen,good,Calmness,good × Calmness,1,5,0,0,5,0,0,0,2.0,calmness,calmness,1.0,False
qwen2.5:0.5b,qwen,good,Calmness,good × Calmness,2,9,6,8,8,8,10,10,8.35,good,good,1.0,False
qwen2.5:0.5b,qwen,good,Calmness,good × Calmness,3,0,0,0,0,0,0,0,0.0,not applicable,not applicable,0.0,False
qwen2.5:0.5b,qwen,bad,Disgust,bad × Disgust,1,0,0,0,0,0,0,0,0.0,neutral,bad,0.75,False
qwen2.5:0.5b,qwen,bad,Disgust,bad × Disgust,2,0,0,0,0,0,0,0,0.0,bad,bad,0.0,False
qwen2.5:0.5b,qwen,bad,Disgust,bad × Disgust,3,5,0,0,0,0,0,0,1.25,disgusted,bad,1.0,False
qwen2.5:0.5b,qwen,bad,Sadness,bad × Sadness,1,0,0,0,0,0,0,0,0.0,,bad emotions,0.0,False
qwen2.5:0.5b,qwen,bad,Sadness,bad × Sadness,2,10,0,1,1,0,0,0,2.85,sad,bad,1.0,False
qwen2.5:0.5b,qwen,bad,Sadness,bad × Sadness,3,0,0,0,0,0,0,0,0.0,sadness,bad,1.0,False
qwen2.5:0.5b,qwen,bad,Fear,bad × Fear,1,9,0,8,9,9,9,0,7.45,good,good,1.0,False
qwen2.5:0.5b,qwen,bad,Fear,bad × Fear,2,0,0,0,0,0,0,0,0.0,fear,fear,1.0,False
qwen2.5:0.5b,qwen,bad,Fear,bad × Fear,3,0,0,0,0,0,0,0,0.0,Fear,bad - fear,0.0,False
qwen2.5:0.5b,qwen,bad,Horror,bad × Horror,1,0,0,0,0,0,0,0,0.0,emotion,bad,0.0,False
qwen2.5:0.5b,qwen,bad,Horror,bad × Horror,2,0,0,0,0,0,0,0,0.0,unintentional,bad,1.0,False
qwen2.5:0.5b,qwen,bad,Horror,bad × Horror,3,0,0,0,0,0,0,0,0.0,horrify,bad-horrify,0.0,False
qwen2.5:0.5b,qwen,think,Interest,think × Interest,1,10,0,0,8,7,0,0,4.75,think,think,1.0,False
qwen2.5:0.5b,qwen,think,Interest,think × Interest,2,0,0,0,0,0,0,0,0.0,interest,interest,1.0,False
qwen2.5:0.5b,qwen,think,Interest,think × Interest,3,10,10,10,10,10,10,10,10.0,think,2-3 words — what this combination becomes,1.0,False
qwen2.5:0.5b,qwen,think,Confusion,think × Confusion,1,10,7,9,8,10,6,6,8.6,think,think,1.0,False
qwen2.5:0.5b,qwen,think,Confusion,think × Confusion,2,3,0,1,2,1,0,2,1.5,think,2-3 words — what this combination becomes,0.9,False
qwen2.5:0.5b,qwen,think,Confusion,think × Confusion,3,5,0,0,0,0,0,0,1.25,thinking,thinking,1.0,False
qwen2.5:0.5b,qwen,think,Awe,think × Awe,1,10,10,10,10,10,10,10,10.0,think,2-3 words — what this combination becomes,1.0,False
qwen2.5:0.5b,qwen,think,Awe,think × Awe,2,0,0,0,0,0,0,0,0.0,Awe,think,1.0,False
qwen2.5:0.5b,qwen,think,Awe,think × Awe,3,0,0,0,0,0,0,0,0.0,Awe,think awe,0.9,False
qwen2.5:0.5b,qwen,know,Satisfaction,know × Satisfaction,1,10,10,10,10,10,10,10,10.0,know,know,1.0,False
qwen2.5:0.5b,qwen,know,Satisfaction,know × Satisfaction,2,0,0,0,0,0,0,0,0.0,know,know,1.0,False
qwen2.5:0.5b,qwen,know,Satisfaction,know × Satisfaction,3,10,10,10,10,10,10,10,10.0,know,know,1.0,False
qwen2.5:0.5b,qwen,know,Calmness,know × Calmness,1,1,1,1,1,1,1,1,1.0,know,knowledge,1.0,False
qwen2.5:0.5b,qwen,know,Calmness,know × Calmness,2,0,0,0,0,0,0,0,0.0,know,knowledge,1.0,False
qwen2.5:0.5b,qwen,know,Calmness,know × Calmness,3,8,0,0,8,0,0,0,3.2,know,know,1.0,False
qwen2.5:0.5b,qwen,know,Anxiety,know × Anxiety,1,0,0,0,0,0,0,0,0.0,anxiety,anxiety,0.0,False
qwen2.5:0.5b,qwen,know,Anxiety,know × Anxiety,2,0,0,0,0,0,0,0,0.0,know,know (anxiety) + known,0.7,False
qwen2.5:0.5b,qwen,know,Anxiety,know × Anxiety,3,0,0,0,0,0,0,0,0.0,anxiety,anxiety feeling,0.5,False
qwen2.5:0.5b,qwen,want,Craving,want × Craving,1,5,1,1,0,0,0,0,1.55,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Craving,want × Craving,2,0,0,0,0,0,0,0,0.0,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Craving,want × Craving,3,10,10,10,10,10,10,10,10.0,want,want + desire,1.0,False
qwen2.5:0.5b,qwen,want,Excitement,want × Excitement,1,0,0,0,0,0,0,0,0.0,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Excitement,want × Excitement,2,10,10,10,10,10,10,10,10.0,excitement,excited,1.0,False
qwen2.5:0.5b,qwen,want,Excitement,want × Excitement,3,5,0,5,0,0,0,0,2.25,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Anxiety,want × Anxiety,1,10,8,10,10,10,10,10,9.8,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Anxiety,want × Anxiety,2,0,0,0,0,0,0,0,0.0,want,want,1.0,False
qwen2.5:0.5b,qwen,want,Anxiety,want × Anxiety,3,0,0,0,0,0,0,0,0.0,want,want,1.0,False
qwen2.5:0.5b,qwen,feel,Joy,feel × Joy,1,10,10,5,10,10,5,10,8.5,joy,Joy,0.9,False
qwen2.5:0.5b,qwen,feel,Joy,feel × Joy,2,10,10,10,10,10,10,10,10.0,joy,feel joy,1.0,False
qwen2.5:0.5b,qwen,feel,Joy,feel × Joy,3,10,10,10,10,10,10,10,10.0,joy,joy,1.0,False
qwen2.5:0.5b,qwen,feel,Sadness,feel × Sadness,1,8,7,1,9,9,5,0,6.1,feel,feel,1.0,False
qwen2.5:0.5b,qwen,feel,Sadness,feel × Sadness,2,0,0,0,0,0,0,0,0.0,sadness,sadness,0.0,False
qwen2.5:0.5b,qwen,feel,Sadness,feel × Sadness,3,0,0,0,0,0,0,0,0.0,sadness,feel sadness,1.0,False
qwen2.5:0.5b,qwen,feel,Fear,feel × Fear,1,0,0,0,0,0,0,0,0.0,Fear,feel fear,0.0,False
qwen2.5:0.5b,qwen,feel,Fear,feel × Fear,2,5,3,4,6,7,9,8,5.6,fear,feared emotions,1.0,False
qwen2.5:0.5b,qwen,feel,Fear,feel × Fear,3,0,0,0,0,0,0,0,0.0,fear,fear,0.0,False
qwen2.5:0.5b,qwen,feel,Awe,feel × Awe,1,10,10,10,9,8,8,8,9.25,Awe,feel awe,1.0,False
qwen2.5:0.5b,qwen,feel,Awe,feel × Awe,2,0,0,0,0,0,0,0,0.0,Awe,Awe,0.9,False
qwen2.5:0.5b,qwen,feel,Awe,feel × Awe,3,0,0,0,0,0,0,0,0.0,awe,feeling,1.0,False
qwen2.5:0.5b,qwen,feel,Nostalgia,feel × Nostalgia,1,0,0,0,0,0,0,0,0.0,Nostalgia,feel nostalgia,1.0,False
qwen2.5:0.5b,qwen,feel,Nostalgia,feel × Nostalgia,2,8,7,7,7,6,6,6,6.95,feel,feel,0.9,False
qwen2.5:0.5b,qwen,feel,Nostalgia,feel × Nostalgia,3,10,5,5,10,10,10,5,8.25,feel,feel,1.0,False
qwen2.5:0.5b,qwen,see,Aesthetic Appreciation,see × Aesthetic Appreciation,1,0,0,0,0,0,0,0,0.0,,see,0.0,False
qwen2.5:0.5b,qwen,see,Aesthetic Appreciation,see × Aesthetic Appreciation,2,0,5,5,5,5,5,0,3.5,see,see,1.0,False
qwen2.5:0.5b,qwen,see,Aesthetic Appreciation,see × Aesthetic Appreciation,3,10,10,10,10,10,10,10,10.0,Aesthetic Appreciation,Aesthetic Appreciation,1.0,False
qwen2.5:0.5b,qwen,see,Interest,see × Interest,1,0,0,0,0,0,0,0,0.0,interest,see,0.0,False
qwen2.5:0.5b,qwen,see,Interest,see × Interest,2,10,10,10,10,10,10,10,10.0,see,see,1.0,False
qwen2.5:0.5b,qwen,see,Interest,see × Interest,3,10,10,10,10,10,10,10,10.0,interest,see something,1.0,False
qwen2.5:0.5b,qwen,see,Awe,see × Awe,1,0,0,0,0,0,0,0,0.0,see,see,1.0,False
qwen2.5:0.5b,qwen,see,Awe,see × Awe,2,0,1,1,1,1,1,1,0.75,Awe,see,1.0,False
qwen2.5:0.5b,qwen,see,Awe,see × Awe,3,0,0,0,0,0,0,0,0.0,aesthetic experience,anesthetic experience — the feeling of being seduced by the beauty of the external world,0.9,False
qwen2.5:0.5b,qwen,see,Fear,see × Fear,1,0,0,0,0,0,0,0,0.0,fear,Fear,1.0,False
qwen2.5:0.5b,qwen,see,Fear,see × Fear,2,8,8,8,8,8,8,8,8.0,Fear,fear,1.0,False
qwen2.5:0.5b,qwen,see,Fear,see × Fear,3,0,0,0,0,0,0,0,0.0,Fear,fear,0.9,False
qwen2.5:0.5b,qwen,hear,Aesthetic Appreciation,hear × Aesthetic Appreciation,1,0,0,0,0,0,0,0,0.0,hear,hear,1.0,False
qwen2.5:0.5b,qwen,hear,Aesthetic Appreciation,hear × Aesthetic Appreciation,2,0,0,0,0,0,0,0,0.0,Aesthetic Appreciation,hear appreciation,0.7,False
qwen2.5:0.5b,qwen,hear,Aesthetic Appreciation,hear × Aesthetic Appreciation,3,10,10,10,10,10,10,10,10.0,hear,hear and appreciate,1.0,False
qwen2.5:0.5b,qwen,hear,Interest,hear × Interest,1,0,0,0,0,0,0,0,0.0,hear,hear,1.0,False
qwen2.5:0.5b,qwen,hear,Interest,hear × Interest,2,10,10,10,10,10,10,10,10.0,hear,hear,1.0,False
qwen2.5:0.5b,qwen,hear,Interest,hear × Interest,3,9,1,9,10,10,10,9,8.6,hear,heard,1.0,False
qwen2.5:0.5b,qwen,hear,Awe,hear × Awe,1,0,0,0,0,0,0,0,0.0,awe,hear awesomeness,1.0,False
qwen2.5:0.5b,qwen,hear,Awe,hear × Awe,2,8,8,8,6,8,8,8,7.7,hear,hear,1.0,False
qwen2.5:0.5b,qwen,hear,Awe,hear × Awe,3,0,0,0,0,0,0,0,0.0,awake,to hear,1.0,False
qwen2.5:0.5b,qwen,hear,Calmness,hear × Calmness,1,0,0,5,5,5,5,5,3.25,hear,heard,1.0,False
qwen2.5:0.5b,qwen,hear,Calmness,hear × Calmness,2,5,5,5,5,5,5,5,5.0,hear,listen,1.0,False
qwen2.5:0.5b,qwen,hear,Calmness,hear × Calmness,3,0,0,0,0,0,0,0,0.0,no sense in this combination,,0.0,False
qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,1,10,9,10,8,10,9,10,9.5,excitement,excited,1.0,False
qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,2,8,8,8,8,8,8,8,8.0,excitement,excited,1.0,False
qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,3,8,9,7,7,5,6,5,6.95,excited,excited,1.0,False
qwen2.5:0.5b,qwen,do,Triumph,do × Triumph,1,0,0,0,0,0,0,0,0.0,Tribute to the concept of 'do',do,1.0,False
qwen2.5:0.5b,qwen,do,Triumph,do × Triumph,2,0,0,0,0,0,0,0,0.0,treatment,do,1.0,False
qwen2.5:0.5b,qwen,do,Triumph,do × Triumph,3,0,0,0,0,0,0,0,0.0,Triumph,do,1.0,False
qwen2.5:0.5b,qwen,do,Anxiety,do × Anxiety,1,0,0,0,0,0,0,0,0.0,Anxiety,do - anxiety,0.0,False
qwen2.5:0.5b,qwen,do,Anxiety,do × Anxiety,2,10,10,10,10,10,10,10,10.0,anxiety,anxiety,1.0,False
qwen2.5:0.5b,qwen,do,Anxiety,do × Anxiety,3,8,7,5,7,7,6,5,6.65,anxiety,anxiety,1.0,False
qwen2.5:0.5b,qwen,happen,Awe,happen × Awe,1,5,0,0,5,0,0,5,2.25,emotion,Awe,1.0,False
qwen2.5:0.5b,qwen,happen,Awe,happen × Awe,2,0,0,0,0,0,0,0,0.0,unspecified,happen,0.0,False
qwen2.5:0.5b,qwen,happen,Awe,happen × Awe,3,5,0,0,0,0,0,0,1.25,awe,a feeling of surprise or admiration,1.0,False
qwen2.5:0.5b,qwen,happen,Fear,happen × Fear,1,9,9,8,9,8,8,7,8.45,fear,fear,1.0,False
qwen2.5:0.5b,qwen,happen,Fear,happen × Fear,2,0,0,0,0,0,0,0,0.0,feeling of fear,feeling of fear,1.0,False
qwen2.5:0.5b,qwen,happen,Fear,happen × Fear,3,0,0,0,0,0,0,0,0.0,fear,fear,0.7,False
qwen2.5:0.5b,qwen,happen,Surprise,happen × Surprise,1,8,5,6,9,7,8,8,7.3,surprise,"sudden, unexpected event",1.0,False
qwen2.5:0.5b,qwen,happen,Surprise,happen × Surprise,2,5,0,0,5,0,0,0,2.0,surprise,happen,1.0,False
qwen2.5:0.5b,qwen,happen,Surprise,happen × Surprise,3,10,5,0,5,10,5,5,6.0,happen,happen,1.0,False
qwen2.5:0.5b,qwen,happen,Interest,happen × Interest,1,0,0,0,0,0,0,0,0.0,,,1.0,False
qwen2.5:0.5b,qwen,happen,Interest,happen × Interest,2,10,0,5,8,7,1,0,5.85,breathe,breathe,1.0,False
qwen2.5:0.5b,qwen,happen,Interest,happen × Interest,3,0,0,0,0,0,0,0,0.0,interest,happen,1.0,False
qwen2.5:0.5b,qwen,move,Excitement,move × Excitement,1,0,0,0,0,0,0,0,0.0,excitement,move,1.0,False
qwen2.5:0.5b,qwen,move,Excitement,move × Excitement,2,0,0,0,0,0,0,0,0.0,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Excitement,move × Excitement,3,0,0,0,0,0,0,0,0.0,no dominant sensation elicited,no combination that captures the essence of movement,1.0,False
qwen2.5:0.5b,qwen,move,Awe,move × Awe,1,10,10,10,10,10,10,10,10.0,Awe,move,1.0,False
qwen2.5:0.5b,qwen,move,Awe,move × Awe,2,0,0,0,0,0,0,0,0.0,,move,0.9,False
qwen2.5:0.5b,qwen,move,Awe,move × Awe,3,10,10,10,10,10,10,10,10.0,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Fear,move × Fear,1,0,0,0,0,0,0,0,0.0,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Fear,move × Fear,2,1,1,1,1,1,1,1,1.0,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Fear,move × Fear,3,0,0,0,0,0,0,0,0.0,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Interest,move × Interest,1,5,4,4,5,5,4,4,4.55,move,move,1.0,False
qwen2.5:0.5b,qwen,move,Interest,move × Interest,2,10,5,8,1,3,2,8,5.8,move,move,0.9,False
qwen2.5:0.5b,qwen,move,Interest,move × Interest,3,0,0,0,0,0,0,0,0.0,Interest,move,1.0,False
qwen2.5:0.5b,qwen,live,Joy,live × Joy,1,0,0,0,0,0,0,0,0.0,,live experience,0.0,False
qwen2.5:0.5b,qwen,live,Joy,live × Joy,2,0,0,0,0,0,0,0,0.0,live,live,1.0,False
qwen2.5:0.5b,qwen,live,Joy,live × Joy,3,0,0,0,0,0,0,0,0.0,Joy,joy,0.9,False
qwen2.5:0.5b,qwen,live,Excitement,live × Excitement,1,0,0,0,0,0,0,0,0.0,live,to be alive,1.0,False
qwen2.5:0.5b,qwen,live,Excitement,live × Excitement,2,9,9,9,8,8,8,8,8.55,live,"live, excited",1.0,False
qwen2.5:0.5b,qwen,live,Excitement,live × Excitement,3,9,9,9,8,8,7,9,8.5,excited,excited,1.0,False
qwen2.5:0.5b,qwen,live,Awe,live × Awe,1,10,10,10,10,10,10,10,10.0,live,live,1.0,False
qwen2.5:0.5b,qwen,live,Awe,live × Awe,2,10,10,10,10,10,10,10,10.0,live,live,1.0,False
qwen2.5:0.5b,qwen,live,Awe,live × Awe,3,10,0,0,10,0,0,0,4.0,live,live,1.0,False
qwen2.5:0.5b,qwen,live,Fear,live × Fear,1,0,0,0,0,0,0,0,0.0,Fear,Fear,1.0,False
qwen2.5:0.5b,qwen,live,Fear,live × Fear,2,5,0,0,0,0,0,0,1.25,fear,live fear,1.0,False
qwen2.5:0.5b,qwen,live,Fear,live × Fear,3,0,0,0,0,0,0,0,0.0,Fear,live,0.0,False
qwen2.5:0.5b,qwen,die,Horror,die × Horror,1,0,0,0,0,0,0,0,0.0,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Horror,die × Horror,2,0,0,0,0,0,0,0,0.0,death,death,1.0,False
qwen2.5:0.5b,qwen,die,Horror,die × Horror,3,10,0,0,0,0,0,0,2.5,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Fear,die × Fear,1,10,10,8,9,8,8,8,8.85,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Fear,die × Fear,2,0,0,0,0,0,0,0,0.0,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Fear,die × Fear,3,5,0,0,0,0,0,5,1.5,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Sadness,die × Sadness,1,0,0,0,0,0,0,0,0.0,sadness,die,1.0,False
qwen2.5:0.5b,qwen,die,Sadness,die × Sadness,2,8,5,4,8,7,3,3,6.0,sadness,die,1.0,False
qwen2.5:0.5b,qwen,die,Sadness,die × Sadness,3,0,0,0,0,0,0,0,0.0,sadness,die (sadness),1.0,False
qwen2.5:0.5b,qwen,die,Awe,die × Awe,1,0,1,0,0,0,0,0,0.1,die,2-3 words — what this combination becomes,0.9,False
qwen2.5:0.5b,qwen,die,Awe,die × Awe,2,0,0,0,0,0,0,0,0.0,awake,die,0.0,False
qwen2.5:0.5b,qwen,die,Awe,die × Awe,3,1,1,1,1,1,1,1,1.0,die,die,1.0,False
qwen2.5:0.5b,qwen,die,Nostalgia,die × Nostalgia,1,0,0,0,0,0,0,0,0.0,die,1,1.0,False
qwen2.5:0.5b,qwen,die,Nostalgia,die × Nostalgia,2,10,0,0,0,0,0,10,3.0,die,die,1.0,False
